Title,Link,Date,Content,Sentiment,Last_Name,Full_Name,Formatted_Date
"Parsa chapter of the RSP stages demonstration, warns the ruling coalition to not show arrogance of two-thirds majority",https://myrepublica.nagariknetwork.com/news/parsa-chapter-of-the-rsp-stages-demonstration-warns-the-ruling-coalition-to-not-show-arrogance-of-two-thirds-majority/,"Published On: 
                                                    September 24, 2024 08:27 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 24: The Parsa district chapter of the Rastriya Swatantra Party (RSP), on Tuesday, staged a demonstration against the possible future arrest of the party chairman Rabi Lamichhane who has been allegedly implicated in the cooperative scam. According to the party members, Lamichhane has been accused of being involved in the scam contrary to the report of the parliamentary probe committee on the misuse of cooperative savings funds. On Tuesday afternoon, a silent procession led by Parsa chapter president of RSP Hari Pant left Adarsh ​​Nagar and reached the District Administration Office (DAO), Parsa and handed over a letter of attention to Assistant Chief District Officer (CDO) Sanu Babu Adhikari. Acknowledging the memorandum, Assistant CDO Adhikari said that the DAO will send the memorandum to the Prime Minister's Office on the same day. During the protest, the demonstrators held placards that read “Rabi is innocent, do not run a political vendetta campaign against him”, “Arrest the real co-operative thugs who embezzled Rs 87 billion” and convened at a corner meeting at Maisthan. Addressing the corner meeting, district president Pant warned the government not to show the arrogance of the two-thirds majority and said that if Rabi is arrested, the Nepali people will seize power before the next general election like in the case of Sri Lanka and Bangladesh. “The political power wielded by the ruling coalition is not permanent,” he told the protestors at the corner meeting, “The Nepalese people are closely monitoring all the activities of the ruling alliance, they will be held accountable soon.” The corner meeting was also addressed by the party’s central committee member Dr. Nandan Yadav and former coordinator Dilip Kurmi. The rally was attended by regional leaders of the RSP including regional presidents Jitendra Mishra and Fayad Mia; and province committee members Tulsa Poudel and Sudish Prajapati.",Negative,,,2024-09-24 20:27:00
Maoist Chairman Dahal ‘heaps praise’ on King Mahendra for starting industrialization in Nepal,https://myrepublica.nagariknetwork.com/news/maoist-chairman-dahal-heaps-praise-on-king-mahendra-for-starting-industrialization-in-nepal/,"Published On: 
                                                    September 24, 2024 07:25 PM NPT
                                                                                                            By: Republica",No content,Negative,Dahal,Dahal,2024-09-24 19:25:00
"Proposed ambassador to Sri Lanka, Bhattarai, withdraws name",https://myrepublica.nagariknetwork.com/news/proposed-ambassador-to-sri-lanka-bhattarai-withdraws-name/,"Published On: 
                                                    September 24, 2024 03:50 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 24: The proposed ambassador to Sri Lanka, Ram Krishna Bhattarai, has withdrawn his name. The chairperson of the Parliamentary Hearing Committee (PHC), Ishwari Devi Neupane, told Republica that Bhattarai has withdrawn his name. “He had requested us to give him the deadline of September 27 to submit his certificate, but we replied that this cannot be done.” Earlier, the Parliamentary Hearing Committee (PHC) had requested him to present his Bachelor’s degree certificate, but he was unable to provide it. The PHC meeting was scheduled for 3 PM on Tuesday, which is expected to take a decision regarding Bhattarai’s approval. Yesterday’s meeting of the PHC was also meant to finalize whether to endorse him, but it was adjourned to today due to the lack of a two-thirds majority needed to make a decision. Chairperson Neupane said that today’s meeting will discuss more about this topic. The Cabinet meeting held on July 29 had recommended the appointment of ambassadors to 18 countries. Among them, the name of Kanta Rijal for Australia was not forwarded to the PHC by the government. After conducting hearings for 17 proposed individuals, the committee has already approved the names of 16 candidates.",Negative,Bhattarai,Ram Krishna Bhattarai,2024-09-24 15:50:00
Foreign Minister Rana urges global community to assist in Bipin Joshi’s release,https://myrepublica.nagariknetwork.com/news/foreign-minister-rana-urges-global-community-to-assist-in-bipin-joshi-s-release/,"Published On: 
                                                    September 24, 2024 01:27 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 24: Foreign Minister Dr Arzu Rana Deuba has called on the international community to assist in the safe release of Nepali youth Bipin Joshi. While addressing the ministerial meeting of the Non-Aligned Movement in New York on Monday, Rana requested the global community to take action for Joshi’s release. Minister Rana stated that Nepalis are eagerly awaiting Joshi's safe return. Last October, Hamas attacked Israel, killing many including 10 Nepalis and abducting Joshi. On the occasion, Minister Rana mentioned that the Nepal government has condemned the attack and has been demanding Joshi’s safe release. During her address, she also emphasized the need for collective efforts to establish peace in the world. She highlighted that wars, rebellions, and acts of violence continue to occur in various parts of the world under different names and pretexts, making it imperative for the global community to take collective action to end violence and establish peace. “I believe that conflicts have escalated in many parts of the world since World War II. Therefore, we stand at a very complex juncture in history, and it has become crucial to prioritize the protection of civilians from armed conflict,” she said. Minister Rana pointed out that despite continuous conflicts around the world, nations have failed to stop such wars, find solutions to the problems caused by these conflicts, and maintain peace and order among citizens. “We are now at the 75th anniversary of the Geneva Conventions, yet we are ignoring or misinterpreting the principles they embody for the protection of civilians. This situation must end soon, and we must all move forward with peaceful coexistence,” she said in her address. Foreign Minister Rana expressed that the death toll in Gaza is heartbreaking, and the suffering of civilians in the Russia-Ukraine war is similarly distressing. She called for an immediate halt to such violent actions and urged the finding of peaceful solutions to these problems. She stressed that such actions do not bring justice to anyone, and everyone should be aware of this fact. “Nepal condemns the killing of civilians, journalists, UN employees, health workers, and all ordinary citizens in Gaza, as well as the attacks on infrastructure,” she said, “The destruction of hospitals, private homes, schools, etc, has forced people to live in fear and terror, and such actions must be stopped immediately.” Minister Rana also requested the international community to seek constructive solutions to conflicts, whether between Israel and Palestine, Russia and Ukraine, or other similar situations, and to exert pressure to end violence.",Negative,Joshi,Bipin Joshi,2024-09-24 13:27:00
Kaski District Government Attorney’s Office starts taking statement of former DIG Chhabilal Joshi,https://myrepublica.nagariknetwork.com/news/kaski-district-government-attorney-s-office-starts-taking-statement-of-former-dig-chhabilal-joshi/,"Published On: 
                                                    September 24, 2024 11:57 AM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 24: Former DIG Chhabilal Joshi, who was arrested in connection with the cooperative fraud case, has started giving his statement to public prosecutors at the District Government Attorney’s Office in Kaski. Superintendent of Police (SP) Mohan Kumar Thapa of the District Police Office, Kaski, told Republica that the process to take Joshi’s statement began after he was brought to the District Government Attorney's Office at 10:30 AM on Tuesday. “It's difficult to say when the statement-taking process will conclude. It could take at least two to three days,” SP Thapa said. On Monday, the Kaski District Court granted permission to police to keep Joshi in custody for five days for further investigation. Joshi was arrested from Kathmandu on Sunday and taken to Kaski the same night following the home ministry's order for the immediate implementation of the Parliamentary Special Investigation Committee’s recommendation. The parliamentary committee, formed to investigate embezzlement and misuse of funds of cooperative organizations, had recommended action against Joshi, the then-director of Gorkha Media, along with others, for cooperative savings fraud.",Negative,Joshi,Chhabilal Joshi,2024-09-24 11:57:00
PM Oli urges Nepali youths living abroad to return home for employment creation,https://myrepublica.nagariknetwork.com/news/pm-oli-urges-nepali-youths-living-abroad-to-return-home-for-employment-creation/,"Published On: 
                                                    September 24, 2024 10:55 AM NPT
                                                                                                            By: Republica","NEW YORK (USA), Sept 24: Prime Minister KP Sharma Oli has urged the Nepali youths living abroad to return home and create employment opportunities. Prime Minister Oli, who is leading a Nepali delegation to the 79th Session of the United Nations General Assembly in New York, said this at the World Leaders Forum organized by Columbia University on Monday. He clarified that the national aspiration of 'Prosperous Nepal, Happy Nepalis' has been put forward to eradicate poverty and ensure the right of all to live with dignity. Speaking as the keynote speaker at a dialogue on 'Nepal's Journey of Democracy and Economic Development', he said there is only the data of students and youths who have gone abroad from Nepal but not that of returnees. Noting that the government has brought out programs such as small scale industries and 'startups' for employment opportunities, PM Oli urged the youth to unite in nation-building, saying that the country could not be transformed without the youth. ""Nepal's economic situation is not very weak. On the contrary, I see a lot of potential for its prosperity, which we will be able to achieve within a short time if we work hard,"" he said, adding, ""We are a rising democracy. We are also the neighbors of economic powers like India and China. In that sense, Nepal is in a position to become a multi-dimensional economy for economic development."" Saying that he was leading a government with two major parliamentary parties that had played a decisive role in Nepal's democratic movement, PM Oli said he had a resolution to maintain good governance and transparency. ""We have no other intention but to make Nepalis prosperous and happy. We are fully committed to the journey of prosperity,"" the PM shared. Addressing the 'Lead Free Future: Partnership Launch and Pledging Event' organized by USAID and UNICEF, PM Oli expressed solidarity with the lead-free campaign. He said that Nepal has already understood that the use of lead has affected the health of children. He clarified that Nepal has been implementing the policy of ending lead use with the understanding that it has affected the health of children and recently brought a bill related to food security in parliament. US President Joe Biden's wife Dr Jill Biden, the President of Dominica, the President of Malawi, among others, also spoke on the occasion. (RSS)",Neutral,Oli,KP Sharma Oli,2024-09-24 10:55:00
PM Oli commits to opening Nepali Consulate General in California,https://myrepublica.nagariknetwork.com/news/pm-oli-commits-to-opening-nepali-consulate-general-in-california/,"Published On: 
                                                    September 24, 2024 09:55 AM NPT
                                                                                                            By: Republica","AMERICA, Sept 24: Prime Minister KP Sharma Oli has expressed a commitment to opening a Nepali Consulate General in the western region of the United States, California, soon. Prime Minister Oli, who is in New York leading the Nepali delegation to attend the 79th United Nations General Assembly, expressed this commitment after meeting with various Nepali organizations, including the Non-Resident Nepali Forum. These groups requested the opening of a Nepali Consulate General in the region during their meeting with the Prime Minister. Around 100,000 Nepalis reside in that state. Since traveling to New York or Washington, DC, where the current Nepali Consulate General is located, is far for them to receive services, organizations like the Nepali Public Relations Committee and the Nepali Association of Northern California had requested the establishment of a consular office in San Francisco, California. The organizations have urged the establishment of a Consulate General in the area because it would address many of the issues faced by the Nepali community, including passport renewals, to a large extent. Prime Minister Oli expressed a positive response to the request, assuring that the Nepal government would make a decision soon. ""You can rest assured. We have already made plans to open a Nepali Consulate General in California soon,"" he said. The petition highlighted that the state of California, being a hub of science and technology, including Silicon Valley, could offer significant trade and technological benefits to Nepal and Nepalis. The committee also met with Foreign Minister Dr Arzu Rana Deuba, presenting the same request and extending an invitation to visit California.",Positive,Oli,KP Sharma Oli,2024-09-24 09:55:00
Foreign Minister Dr Rana holds meeting with UN Under-Secretary-General Khare,https://myrepublica.nagariknetwork.com/news/foreign-minister-dr-rana-holds-meeting-with-un-under-secretary-general-khare/,"Published On: 
                                                    September 24, 2024 09:25 AM NPT
                                                                                                            By: Republica","WASHINGTON DC (USA), Sept 24: Minister for Foreign Affairs, Dr Arju Rana Deuba, who arrived in New York to participate in the 79th Session of the United Nations General Assembly (UNGA), held a meeting with Under-Secretary-General of the United Nations in Department of Operational Support, Atul Khare. In a meeting held on Monday, various aspects of the UN-Nepal relations and cooperation were discussed, the New York-based Nepali Mission said. The Department has been working in the field of management of security personnel of the UN missions deployed for peacekeeping. According to the Mission, the meeting discussed the continuation of cooperation between Nepal and the UN and its contribution to the field of peace and security. (RSS)",Neutral,Rana,Arju Rana Deuba,2024-09-24 09:25:00
PHC meeting on ambassador-nominee Bhattarai stalled due to lack of quorum,https://myrepublica.nagariknetwork.com/news/phc-meeting-on-ambassador-nominee-bhattarai-stalled-due-to-lack-of-quorum/,"Published On: 
                                                    September 23, 2024 06:56 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 23: A meeting of the Parliamentary Hearings Committee of the Federal Parliament on Monday remained undecided over the nomination of Ram Krishna Bhattarai as ambassador to Sri Lanka. The meeting ended inconclusively due to the lack of a quorum to decide on the nomination. During the  meeting, only eight members, out of 15, were present. Committee member Shyam Kumar Ghimire said the presence of two-thirds of members or at least 10 is required to decide on the proposal to appoint Ghimire as the ambassador to Sri Lanka. Earlier, the committee demanded the certificate of Bachelor's degree of the nominee to prove him academically eligible for the appointment. But, the committee has not yet received the document. It has been reported the certificate is not available at the Ministry of Foreign Affairs as well. The committee is scheduled to meet again on Tuesday to discuss the issue. Ghimire made it clear that the government's recommendation to appoint Bhattarai as the ambassador will not be accepted if he fails to submit the document by Tuesday. As per the directives regarding the appointment of an ambassador, the nominee must have at least completed the Bachelor's degree to be academically eligible for the appointment. The names of 16 people who were proposed as ambassadors for various countries along with Bhattarai have been already endorsed by the committee. RSS",Negative,Bhattarai,Ram Krishna Bhattarai,2024-09-23 18:56:00
PHC deliberates on ambassador-nominee Bhattarai,https://myrepublica.nagariknetwork.com/news/phc-deliberates-on-ambassador-nominee-bhattarai/,"Published On: 
                                                    September 23, 2024 03:25 PM NPT
                                                                                                            By: Republica","KATHMANDU, Sept 23: The Parliamentary Hearing Committee (PHC) is continuing its discussions on the nomination of Ram Krishna Bhattarai as the ambassador to Sri Lanka. The meeting, held on Monday at Singha Durbar, is yet to reach a decision due to concerns over Bhattarai's lack of a graduation certificate, which he had listed in his resume. While the committee had previously approved ambassador nominees for 16 countries, Bhattarai's case remains unresolved. Bhattarai was recommended for the ambassadorial post from the Nepali Congress.",Negative,Bhattarai,Ram Krishna Bhattarai,2024-09-23 15:25:00
